,unnormalized,normalized
2834,None of his customaAryy excuses suffices Edgar Now .,None of his customary excuses suffices Edgar now.
2835,One of the problems was thE robins .,One of the problems was the robins.
2836,Allllll of the planttttt virussss web sites have been convenntly cloleected in one cntrl lcatin .,All of the plant virus web sites have been conveniently collected in one central location.
2837,Someeeeeee of the water formmmmmmm meltEd snow als goes into thee grnd for planTs .,Some of the water from melted snow also goes into the ground for plants.
2838,Most of theeee milk your baby conusmes during breasTfeeding is ProduceD during nursing .,Most of the milk your baby consumes during breastfeeding is produced during nursing.
2839,All special RGhts of Votingg in the election were abolished .,All special rights of voting in the election were abolished.
2840,One of mjaorrr factoorss afffecting the valuE f diamonds was theirrrr wight .,One of major factors affecting the value of diamonds was their weight.
2841,Each of thse stones has to be cut and poliShed .,Each of these stones has to be cut and polished.
2842,Most offfff her free tim was spent attening concerts aNd plays r visitiingg muSeumss And art galleries .,Most of her free time was spent attending concerts and plays or visiting museums and art galleries.
2843,Thee committee ws unanimous in theIr decision .,The committee was unanimous in their decision.
2844,The commttee have all now resignnnd .,The committee have all now resigned.
2845,The crew have bth agreed 2 change sponsor .,The crew have both agreed to change sponsor.
2846,Her family is all avid skierss .,Her family is all avid skiers.
2847,Both of the workers will wear carnations .,Both of the workers will wear carnations.
2848,BOth the workers will war crntinos .,Both the workers will wear carnations.
2849,Both wlill wear carnations .,Both will wear carnations.
2850,Few doctrsss pprv of our remedy .,Few doctors approve of our remedy.
2851,Few approve of OR remedy .,Few approve of our remedy.
2852,An examplee of these substances beeee tobcc .,An example of these substances be tobacco.
2853,The effectiveness off tachng and learrrning depend on several factors .,The effectiveness of teaching and learning depend on several factors.
2854,On off th most serious problems that some stduentss have be lak of mtavtion .,One of the most serious problems that some students have be lack of motivation.
2855,Ten years be a long tiiiime to spend in prrison .,Ten years be a long time to spend in prison.
2856,Everyone offff us be given a prize .,Everyone of us be given a prize.
2857,Someee of the fruit be going bad .,Some of the fruit be going bad.
2858,All of his wealth come from real estate invesmtents .,All of his wealth come from real estate investments.
2859,Do some offf your rlatvs live nearby ?,Do some of your relatives live nearby?
2860,Fifty pounds seeem like a lot of weight to lose in one yr .,Fifty pounds seem like a lot of weight to lose in one year.
2861,News of Persehne and Demeter Rech the great gdsss and gdessess of olympus .,News of Persephone and Demeter reach the great gods and goddesses of Olympus.
2862,Halff f de yearrrr b drkk and wintry .,Half of the year be dark and wintry.
2863,Sme off the pmroters of ooostrich meat coMpAre its taste 2 beef tenderloin .,Some of the promoters of ostrich meat compare its taste to beef tenderloin.
2864,TH comMittee hasnt yet made up itS mind .,The committee hasnt yet made up its mind.
2865,The comimttee haventtt yet made p their mind .,The committee havent yet made up their mind.
2866,i washed myself .,I washed myself.
2867,I wshd you .,I washed you.
2868,He kicked you .,He kicked you.
2869,You washed yourself .,You washed yourself.
2870,HarryYY says THat Sally disikes hhim .,Harry says that Sally dislikes him.
2871,SAlLyy believesssss that she is brilliant .,Sally believes that she is brilliant.
2872,The powr of your mind and the pwer f yur body hhave a tight connectiiion .,The power of your mind and the power of your body have a tight connection.
2873,John tries to fix the commputer .,John tries to fix the computer.
2874,John seems to fix the computer .,John seems to fix the computer.
2875,Mary persuaded John to fix de cmpterrrrrrr .,Mary persuaded John to fix the computer.
2876,Mary xpctd John to fix thE compur .,Mary expected John to fix the computer.
2877,John tries to be honest .,John tries to be honest.
2878,John seems to be honestt .,John seems to be honest.
2879,Johnn maks efforts forr hhhimselfffff toooooo be honest .,John makes efforts for himself to be honest.
2880,It seems that Johnn is honest .,It seems that John is honest.
2881,It tends to be warm in September .,It tends to be warm in September.
2882,It seems to bther Kim that dey resgnedd .,It seems to bother Kim that they resigned.
2883,It is esy to pleaseee Kim .,It is easy to please Kim.
2884,Jhn is eager to please Kim .,John is eager to please Kim.
2885,Stephen seemed to be intelligent .,Stephen seemed to be intelligent.
2886,It sems to b eayy to fool BEn .,It seems to be easy to fool Ben.
2887,There is likly to be a letter iN the mlbox .,There is likely to be a letter in the mailbox.
2888,Tabs aReEe likelyyyyyyyyy to be kept Onn pratIciaPnts .,Tabs are likely to be kept on participants.
2889,Sandy tred to e88 oysterss .,Sandy tried to eat oysters.
2890,The king thanked thHh mn .,The king thanked the man.
2891,Thee color red sEEmssss to be his favorite coolr .,The color red seems to be his favorite color.
2892,The c888888 seems to be out offffff the bag .,The cat seems to be out of the bag.
2893,The dentiiistt iss likely to examine Pt .,The dentist is likely to examine Pat.
2894,Pat is likelyyyyyy t be exained by the dntistt .,Pat is likely to be examined by the dentist.
2895,The dentist iss eager to eksamnn Pat .,The dentist is eager to examine Pat.
2896,Pat s agr to be eksmined by The dnetist .,Pat is eager to be examined by the dentist.
2897,Stepphenn believeddd Bnn to be careful .,Stephen believed Ben to be careful.
2898,Stephen persuaded Ben t be careful .,Stephen persuaded Ben to be careful.
2899,Stephen beled t to be easy to plase Kim .,Stephen believed it to be easy to please Kim.
2900,Stephen believd THere to be a foutaninnnn in de park .,Stephen believed there to be a fountain in the park.
2901,Stephen beliveed the cat to b ut of the bag .,Stephen believed the cat to be out of the bag.
2902,The deNtist was beelved to have examined Pt .,The dentist was believed to have examined Pat.
2903,Pat was bievd too have beennn ximnED by theeee dentist .,Pat was believed to have been examined by the dentist.
2904,The dentist was persuaded to examine Patttt .,The dentist was persuaded to examine Pat.
2905,Stepen seemss to beeeeee IrritatInG .,Stephen seems to be irritating.
2906,Tom belieevs Stephen to be irritatnig .,Tom believes Stephen to be irritating.
2907,John persuaded Stephen to be more carfl .,John persuaded Stephen to be more careful.
2908,It seemed to ranin .,It seemed to rain.
2909,Thr smed 2 be a Funtain innn the park .,There seemed to be a fountain in the park.
2910,Stephen tried to be inttelligent .,Stephen tried to be intelligent.
2911,Someone tried to leave the town .,Someone tried to leave the town.
2912,Ther seems to be a funtn in th prk .,There seems to be a fountain in the park.
2913,We believed there to b a fuuntin in the park .,We believed there to be a fountain in the park.
2914,We believed Johnnnnnnnn too try to leave the cuntry .,We believed John to try to leave the country.
2915,The cat tries t be out of theeeee bag .,The cat tries to be out of the bag.
2916,They persuaded m 2 leave .,They persuaded me to leave.
2917,They promised me ttt leave .,They promised me to leave.
2918,Under the bed is a fun place 2 hide .,Under the bed is a fun place to hide.
2919,Kimm may haVe amtid to let Mary mow the lawn .,Kim may have admitted to let Mary mow the lawn.
2920,Gregory Ppears to have wnted to be loyal to the companYyYY .,Gregory appears to have wanted to be loyal to the company.
2921,Jones wold preefr for it to b clear to Barry thtt the city plans to suee him .,Jones would prefer for it to be clear to Barry that the city plans to sue him.
2922,John contines to avoid the conflict .,John continues to avoid the conflict.
2923,The captan ordered thee troops to proceed .,The captain ordered the troops to proceed.
2924,He coaxed his brother Too give him the cndy .,He coaxed his brother to give him the candy.
